activity_id,account_id,activity_date,activity_type,performed_by,source_system,outcome_code,next_follow_up_date,minutes_spent,duplicate_check_flag
ACT-00001,ACC-10001,2026-02-03,status_check,agent_38,spreadsheet,next_action_unclear,,3,N
ACT-00002,ACC-10001,19/01/2026,manual_plan_note,agent_48,phone,viewed_status,2026-01-24,8,N
ACT-00003,ACC-10001,2026-01-27,status_check,agent_32,phone,promise_to_pay,2026-02-03,4,Y
ACT-00004,ACC-10001,2026-02-08,email_sent,agent_08,phone,no_reply,2026-02-13,4,N
ACT-00005,ACC-10001,2026-02-06,escalation,agent_28,spreadsheet,next_action_unclear,,8,N
ACT-00006,ACC-10002,2026-01-05,call_attempt,agent_05,phone,promise_to_pay,2026-01-06,11,N
ACT-00007,ACC-10002,2026-01-12,spreadsheet_reconcile,agent_04,legacy_db,next_action_unclear,2026-01-12,9,Y
ACT-00008,ACC-10002,2026-01-17,email_sent,agent_25,phone,awaiting_review,2026-01-23,5,N
ACT-00009,ACC-10002,2026-01-03,escalation,agent_04,legacy_db,updated_row,2026-01-03,6,N
ACT-00010,ACC-10002,2026-01-06,manual_plan_note,agent_49,phone,awaiting_review,2026-01-09,10,N
ACT-00011,ACC-10003,2026-02-15,manual_plan_note,agent_09,phone,left_message,,10,N
ACT-00012,ACC-10003,2026-02-13,email_sent,agent_48,legacy_db,no_reply,2026-02-19,4,N
ACT-00013,ACC-10003,2026-02-09,spreadsheet_reconcile,agent_49,email,sent_to_specialist,2026-02-10,12,N
ACT-00014,ACC-10003,2026-02-08,status_check,agent_06,spreadsheet,next_action_unclear,2026-02-10,5,Y
ACT-00015,ACC-10003,2026-02-23,status_check,agent_48,email,awaiting_review,2026-03-02,3,Y
ACT-00016,ACC-10004,2026-02-13,spreadsheet_reconcile,agent_36,phone,updated_row,2026-02-19,10,N
ACT-00017,ACC-10004,15/02/2026,call_attempt,agent_33,spreadsheet,sent_to_specialist,2026-02-15,11,N
ACT-00018,ACC-10005,2026-01-27,email_sent,agent_49,phone,updated_row,,4,N
ACT-00019,ACC-10006,30/01/2026,call_attempt,agent_30,phone,no_reply,,12,N
ACT-00020,ACC-10007,2026-01-22,call_attempt,agent_27,legacy_db,next_action_unclear,2026-01-27,11,N
ACT-00021,ACC-10007,2026-01-24,status_check,agent_07,phone,left_message,2026-01-26,4,Y
ACT-00022,ACC-10007,2026-01-24,call_attempt,agent_35,phone,sent_to_specialist,2026-01-29,9,N
ACT-00023,ACC-10008,2026-02-13,email_sent,agent_35,phone,awaiting_review,2026-02-13,7,N
ACT-00024,ACC-10008,2026-02-01,manual_plan_note,agent_07,legacy_db,updated_row,2026-02-03,5,N
ACT-00025,ACC-10009,2026-02-09,spreadsheet_reconcile,agent_34,email,updated_row,2026-02-13,9,Y
ACT-00026,ACC-10009,05/02/2026,call_attempt,agent_22,legacy_db,no_reply,2026-02-11,14,N
ACT-00027,ACC-10009,2026-02-23,sms_reminder,agent_09,spreadsheet,left_message,2026-02-26,4,N
ACT-00028,ACC-10010,2026-01-29,escalation,agent_01,phone,sent_to_specialist,2026-01-30,11,N
ACT-00029,ACC-10010,2026-01-17,spreadsheet_reconcile,agent_40,legacy_db,updated_row,2026-01-17,10,Y
ACT-00030,ACC-10010,2026-01-24,call_attempt,agent_51,spreadsheet,awaiting_review,2026-01-26,14,N
ACT-00031,ACC-10010,2026-01-25,sms_reminder,agent_53,spreadsheet,next_action_unclear,,3,N
ACT-00032,ACC-10010,01/02/2026,email_sent,agent_48,legacy_db,updated_row,2026-02-03,4,N
ACT-00033,ACC-10011,2026-02-28,escalation,agent_16,spreadsheet,awaiting_review,2026-03-05,10,N
ACT-00034,ACC-10011,2026-02-11,spreadsheet_reconcile,agent_43,phone,left_message,2026-02-14,9,N
ACT-00035,ACC-10011,2026-02-15,call_attempt,agent_43,legacy_db,viewed_status,2026-02-15,13,N
ACT-00036,ACC-10012,21/02/2026,email_sent,agent_34,legacy_db,sent_to_specialist,2026-02-23,5,N
ACT-00037,ACC-10012,2026-02-19,call_attempt,agent_28,spreadsheet,next_action_unclear,2026-02-24,11,N
ACT-00038,ACC-10012,2026-02-18,email_sent,agent_42,spreadsheet,viewed_status,2026-02-18,5,N
ACT-00039,ACC-10012,2026-02-22,sms_reminder,agent_24,legacy_db,updated_row,2026-02-26,4,N
ACT-00040,ACC-10012,2026-03-02,spreadsheet_reconcile,agent_50,legacy_db,sent_to_specialist,,12,Y
