event_id,journey_id,account_id,event_timestamp,event_step,event_status,selected_action,channel_source,risk_band,eligibility_result
EVT-0000001,JRN-000001,ACC-10166,2026-02-27 23:22:00,portal_landing,ok,,email_link,high,ineligible
EVT-0000002,JRN-000001,ACC-10166,2026-02-27 23:22:21,identity_verification_started,ok,,email_link,high,ineligible
EVT-0000003,JRN-000001,ACC-10166,2026-02-27 23:22:55,identity_verification_passed,ok,,email_link,high,ineligible
EVT-0000004,JRN-000001,ACC-10166,2026-02-27 23:23:36,account_summary_viewed,ok,,email_link,high,ineligible
EVT-0000005,JRN-000001,ACC-10166,2026-02-27 23:25:13,action_selected,ok,update_details,email_link,high,ineligible
EVT-0000006,JRN-000001,ACC-10166,2026-02-27 23:26:06,confirmation_shown,ok,,email_link,high,ineligible
EVT-0000007,JRN-000002,ACC-10889,2026-02-07 18:34:00,portal_landing,ok,,sms_link,high,ineligible
EVT-0000008,JRN-000002,ACC-10889,2026-02-07 18:35:08,identity_verification_started,ok,,sms_link,high,ineligible
EVT-0000009,JRN-000002,ACC-10889,2026-02-07 18:37:31,identity_verification_passed,ok,,sms_link,high,ineligible
EVT-0000010,JRN-000002,ACC-10889,2026-02-07 18:38:25,account_summary_viewed,ok,,sms_link,high,ineligible
EVT-0000011,JRN-000002,ACC-10889,2026-02-07 18:40:18,action_selected,ok,payment_plan,sms_link,high,ineligible
EVT-0000012,JRN-000002,ACC-10889,2026-02-07 18:43:11,plan_eligibility_checked,ok,,sms_link,high,ineligible
EVT-0000013,JRN-000002,ACC-10889,2026-02-07 18:45:11,routed_to_agent,routed,,sms_link,high,ineligible
EVT-0000014,JRN-000003,ACC-11476,2026-03-09 14:44:00,portal_landing,ok,,sms_link,low,eligible
EVT-0000015,JRN-000003,ACC-11476,2026-03-09 14:46:29,identity_verification_started,ok,,sms_link,low,eligible
EVT-0000016,JRN-000003,ACC-11476,2026-03-09 14:48:17,identity_verification_passed,ok,,sms_link,low,eligible
EVT-0000017,JRN-000003,ACC-11476,2026-03-09 14:51:11,account_summary_viewed,ok,,sms_link,low,eligible
EVT-0000018,JRN-000003,ACC-11476,2026-03-09 14:52:07,action_selected,ok,update_details,sms_link,low,eligible
EVT-0000019,JRN-000003,ACC-11476,2026-03-09 14:55:05,confirmation_shown,ok,,sms_link,low,eligible
EVT-0000020,JRN-000004,ACC-10438,2026-02-16 05:43:00,portal_landing,ok,,manual_url,high,ineligible
EVT-0000021,JRN-000004,ACC-10438,2026-02-16 05:44:57,identity_verification_started,ok,,manual_url,high,ineligible
EVT-0000022,JRN-000004,ACC-10438,2026-02-16 05:47:19,identity_verification_passed,ok,,manual_url,high,ineligible
EVT-0000023,JRN-000004,ACC-10438,2026-02-16 05:47:54,account_summary_viewed,ok,,manual_url,high,ineligible
EVT-0000024,JRN-000004,ACC-10438,2026-02-16 05:48:32,action_selected,ok,support,manual_url,high,ineligible
EVT-0000025,JRN-000004,ACC-10438,2026-02-16 05:49:45,routed_to_agent,routed,,manual_url,high,ineligible
EVT-0000026,JRN-000005,ACC-10966,2026-03-05 08:17:00,portal_landing,ok,,sms_link,low,ineligible
EVT-0000027,JRN-000005,ACC-10966,2026-03-05 08:18:01,identity_verification_started,ok,,sms_link,low,ineligible
EVT-0000028,JRN-000005,ACC-10966,2026-03-05 08:20:20,identity_verification_passed,ok,,sms_link,low,ineligible
EVT-0000029,JRN-000005,ACC-10966,2026-03-05 08:21:26,account_summary_viewed,ok,,sms_link,low,ineligible
EVT-0000030,JRN-000005,ACC-10966,2026-03-05 08:22:50,action_selected,ok,promise_to_pay,sms_link,low,ineligible
EVT-0000031,JRN-000005,ACC-10966,2026-03-05 08:23:26,promise_to_pay_submitted,ok,,sms_link,low,ineligible
EVT-0000032,JRN-000005,ACC-10966,2026-03-05 08:23:50,confirmation_shown,ok,,sms_link,low,ineligible
EVT-0000033,JRN-000006,ACC-10166,2026-02-20 14:05:00,portal_landing,ok,,sms_link,high,ineligible
EVT-0000034,JRN-000006,ACC-10166,2026-02-20 14:07:22,identity_verification_started,ok,,sms_link,high,ineligible
EVT-0000035,JRN-000006,ACC-10166,2026-02-20 14:10:17,identity_verification_passed,ok,,sms_link,high,ineligible
EVT-0000036,JRN-000006,ACC-10166,2026-02-20 14:12:33,account_summary_viewed,ok,,sms_link,high,ineligible
EVT-0000037,JRN-000006,ACC-10166,2026-02-20 14:14:49,action_selected,ok,payment_plan,sms_link,high,ineligible
EVT-0000038,JRN-000006,ACC-10166,2026-02-20 14:15:29,plan_eligibility_checked,ok,,sms_link,high,ineligible
EVT-0000039,JRN-000006,ACC-10166,2026-02-20 14:17:02,routed_to_agent,routed,,sms_link,high,ineligible
EVT-0000040,JRN-000007,ACC-10994,2026-02-13 06:30:00,portal_landing,ok,,sms_link,medium,ineligible
EVT-0000041,JRN-000007,ACC-10994,2026-02-13 06:30:52,identity_verification_started,ok,,sms_link,medium,ineligible
EVT-0000042,JRN-000007,ACC-10994,2026-02-13 06:32:39,identity_verification_passed,ok,,sms_link,medium,ineligible
EVT-0000043,JRN-000007,ACC-10994,2026-02-13 06:33:08,account_summary_viewed,ok,,sms_link,medium,ineligible
EVT-0000044,JRN-000007,ACC-10994,2026-02-13 06:33:21,action_selected,ok,update_details,sms_link,medium,ineligible
EVT-0000045,JRN-000007,ACC-10994,2026-02-13 06:34:51,confirmation_shown,ok,,sms_link,medium,ineligible
EVT-0000046,JRN-000008,ACC-12212,2026-02-07 23:59:00,portal_landing,ok,,sms_link,low,ineligible
EVT-0000047,JRN-000008,ACC-12212,2026-02-08 00:01:42,identity_verification_started,ok,,sms_link,low,ineligible
EVT-0000048,JRN-000008,ACC-12212,2026-02-08 00:03:55,identity_verification_failed,failed,,sms_link,low,ineligible
EVT-0000049,JRN-000008,ACC-12212,2026-02-08 00:05:22,routed_to_agent,routed,,sms_link,low,ineligible
EVT-0000049,JRN-000008,ACC-12212,2026-02-08 00:05:22,routed_to_agent,routed,,sms_link,low,ineligible
EVT-0000050,JRN-000009,ACC-10807,2026-02-14 16:35:00,portal_landing,ok,,manual_url,high,ineligible
EVT-0000051,JRN-000009,ACC-10807,2026-02-14 16:35:38,identity_verification_started,ok,,manual_url,high,ineligible
EVT-0000052,JRN-000009,ACC-10807,2026-02-14 16:36:14,identity_verification_passed,ok,,manual_url,high,ineligible
EVT-0000053,JRN-000009,ACC-10807,2026-02-14 16:37:17,account_summary_viewed,ok,,manual_url,high,ineligible
EVT-0000054,JRN-000009,ACC-10807,2026-02-14 16:38:46,action_selected,ok,payment_plan,manual_url,high,ineligible
EVT-0000055,JRN-000009,ACC-10807,2026-02-14 16:41:20,plan_eligibility_checked,ok,,manual_url,high,ineligible
EVT-0000056,JRN-000009,ACC-10807,2026-02-14 16:42:19,routed_to_agent,routed,,manual_url,high,ineligible
EVT-0000057,JRN-000010,ACC-10540,2026-02-08 22:38:00,portal_landing,ok,,manual_url,high,ineligible
EVT-0000058,JRN-000010,ACC-10540,2026-02-08 22:39:10,identity_verification_started,ok,,manual_url,high,ineligible
EVT-0000059,JRN-000010,ACC-10540,2026-02-08 22:40:56,identity_verification_passed,ok,,manual_url,high,ineligible
EVT-0000060,JRN-000010,ACC-10540,2026-02-08 22:41:52,account_summary_viewed,ok,,manual_url,high,ineligible
EVT-0000061,JRN-000010,ACC-10540,2026-02-08 22:43:48,action_selected,ok,update_details,manual_url,high,ineligible
EVT-0000062,JRN-000010,ACC-10540,2026-02-08 22:44:12,confirmation_shown,ok,,manual_url,high,ineligible
EVT-0000063,JRN-000011,ACC-12272,2026-03-06 12:48:00,portal_landing,ok,,manual_url,low,eligible
EVT-0000064,JRN-000011,ACC-12272,2026-03-06 12:48:27,identity_verification_started,ok,,manual_url,low,eligible
EVT-0000065,JRN-000011,ACC-12272,2026-03-06 12:49:12,identity_verification_passed,ok,,manual_url,low,eligible
EVT-0000066,JRN-000011,ACC-12272,2026-03-06 12:52:01,account_summary_viewed,ok,,manual_url,low,eligible
EVT-0000067,JRN-000011,ACC-12272,2026-03-06 12:53:41,action_selected,ok,support,manual_url,low,eligible
EVT-0000068,JRN-000011,ACC-12272,2026-03-06 12:56:19,routed_to_agent,routed,,manual_url,low,eligible
EVT-0000069,JRN-000012,ACC-10506,2026-02-08 23:21:00,portal_landing,ok,,email_link,low,ineligible
EVT-0000070,JRN-000012,ACC-10506,2026-02-08 23:22:28,identity_verification_started,ok,,email_link,low,ineligible
EVT-0000071,JRN-000012,ACC-10506,2026-02-08 23:23:49,identity_verification_passed,ok,,email_link,low,ineligible
EVT-0000072,JRN-000012,ACC-10506,2026-02-08 23:25:25,account_summary_viewed,ok,,email_link,low,ineligible
EVT-0000073,JRN-000012,ACC-10506,2026-02-08 23:27:00,action_selected,ok,update_details,email_link,low,ineligible
EVT-0000074,JRN-000012,ACC-10506,2026-02-08 23:30:00,confirmation_shown,ok,,email_link,low,ineligible
EVT-0000075,JRN-000013,ACC-12413,2026-03-09 15:49:00,portal_landing,ok,,sms_link,high,ineligible
EVT-0000076,JRN-000013,ACC-12413,2026-03-09 15:49:21,identity_verification_started,ok,,sms_link,high,ineligible
EVT-0000077,JRN-000013,ACC-12413,2026-03-09 15:52:16,identity_verification_passed,ok,,sms_link,high,ineligible
EVT-0000078,JRN-000013,ACC-12413,2026-03-09 15:54:43,account_summary_viewed,ok,,sms_link,high,ineligible
EVT-0000079,JRN-000013,ACC-12413,2026-03-09 15:57:22,action_selected,ok,payment_plan,sms_link,high,ineligible
EVT-0000080,JRN-000013,ACC-12413,2026-03-09 15:59:19,plan_eligibility_checked,ok,,sms_link,high,ineligible
EVT-0000081,JRN-000013,ACC-12413,2026-03-09 15:59:46,routed_to_agent,routed,,sms_link,high,ineligible
EVT-0000082,JRN-000014,ACC-10689,2026-02-02 12:54:00,portal_landing,ok,,email_link,medium,ineligible
EVT-0000083,JRN-000014,ACC-10689,2026-02-02 12:55:02,identity_verification_started,ok,,email_link,medium,ineligible
EVT-0000084,JRN-000014,ACC-10689,2026-02-02 12:55:48,identity_verification_failed,failed,,email_link,medium,ineligible
EVT-0000085,JRN-000014,ACC-10689,2026-02-02 12:56:07,routed_to_agent,routed,,email_link,medium,ineligible
EVT-0000086,JRN-000015,ACC-11046,2026-03-10 01:24:00,portal_landing,ok,,email_link,low,eligible
EVT-0000087,JRN-000015,ACC-11046,2026-03-10 01:26:49,identity_verification_started,ok,,email_link,low,eligible
EVT-0000088,JRN-000015,ACC-11046,2026-03-10 01:28:26,identity_verification_passed,ok,,email_link,low,eligible
